id,speaker,start_time,end_time,text,emotion
Ses02F_impro01_F000,F,5.3661,9.615,"Hi. Excuse me.  Um, I'd like to put in this application for my registration.",neu
Ses02F_impro01_M000,M,5.8186,7.253,Hi.,neu
Ses02F_impro01_M001,M,9.8327,15.9334,"Okay.  Let me see here.  Um, we need--we need your original birth certificate.",neu
Ses02F_impro01_F001,F,16.484,19.7791,My--my original birth certificate?  But I don't carry that with me.,sur
Ses02F_impro01_M002,M,20.5395,23.2318,Right.  Well.  We still need it.,neu
Ses02F_impro01_F002,F,23.369,26.0214,"Well, I have my driver's license, does that work?",xxx
Ses02F_impro01_M003,M,25.7699,32.1839,"No. no  Uh, no one told you that you needed your original birth certificate.",xxx
Ses02F_impro01_F003,F,30.713,32.8369,No it doesn't say it on the form.,fru
Ses02F_impro01_F004,F,32.8981,37.88,"I mean it just says that you need some form of identification, but it doesn't say what kind of identification.",fru
Ses02F_impro01_F005,F,38.0286,40.3056,I mean if I had known--I would have brought it.,fru
Ses02F_impro01_M004,M,38.1175,39.5783,um Sorry.,neu
Ses02F_impro01_M005,M,40.4471,45.0994,"Okay.  Um, I'm sorry but I--I can't help you.  You're gonna have to go back and uh...",fru
Ses02F_impro01_F006,F,45.0441,50.0436,"Look, I've been waiting in line for a really long time.  I mean, you've seen how long it is.",fru
Ses02F_impro01_F007,F,50.0639,51.9832,It's lunch hour.,fru
Ses02F_impro01_M006,M,50.0639,51.963,Right.  It's the D.M.V..,fru
Ses02F_impro01_M007,M,51.9832,57.8604,"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?",fru
Ses02F_impro01_F008,F,57.5135,66.671,"Well, no.  I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again.",fru
Ses02F_impro01_F009,F,66.6912,72.0669,I have my passport and I have my driver's license. And that's all I have.,fru
Ses02F_impro01_M008,M,70.1056,72.0855,"Alright, I don't know what to tell you right.",fru
Ses02F_impro01_M009,M,72.2875,79.2332,"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-",fru
Ses02F_impro01_F010,F,78.1061,87.7428,"But, isn't there anything you can do.  Can't you make an exception this one time?  My picture is on both of those identifications.  It's not like you don't know that it's me.",fru
Ses02F_impro01_M010,M,87.4602,88.6522,I can't.,fru
Ses02F_impro01_F011,F,88.3022,89.9978,And I can give you my social--,fru
Ses02F_impro01_M011,M,88.6926,97.7625,"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-",fru
Ses02F_impro01_F012,F,96.4709,99.7098,"Well, I can give you my Social Security Number.",fru
Ses02F_impro01_M012,M,100.014,101.5823,"No, it's--",fru
Ses02F_impro01_F013,F,99.8449,105.6836,And I can tell you where I was born and what time and by who and what day.,fru
Ses02F_impro01_M013,M,105.0169,111.4287,"Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--",fru
Ses02F_impro01_F014,F,111.5773,119.8805,I can't go--I have to go back to work.  I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another forty five minutes.,fru
Ses02F_impro01_M014,M,119.606,125.5354,"Well, the weekends are not as busy.  Maybe you can uh, come and try to get here early--",fru
Ses02F_impro01_F015,F,124.1293,132.0469,"Um, I have kids.  I have to take them places on the weekends.  I don't have time to come back here.  Please.  I really need you to help me.",fru
Ses02F_impro01_M015,M,132.1517,135.6478,I can't.  There's nothing I can do.  I'm sorry.,fru
Ses02F_impro01_F016,F,135.5643,145.6458,Well.  [BREATHING] I just--I just don't.  I-I'm sorry that I'm standing here-- But I can't leave. I-,fru
Ses02F_impro01_M016,M,141.989,143.5245,The line--,xxx
Ses02F_impro01_F017,F,145.7064,150.8614,"I really need this done today.  As you can see, the deadline is almost up and I can't come back.",fru
Ses02F_impro01_M017,M,150.5061,155.603,"Ok, but you're right now you're holding up more people in line by standing here-- and letting",ang
