epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,0.2805,23.01,21.56,0.2477,49.35,39.65,0.0,0.2538760006427765,0.0,0.0,0.0,0.2538760006427765
2,0.2444,49.64,35.79,0.2203,55.3,39.62,0.0,0.24729028344154358,0.0,0.0,0.0,0.24729028344154358
3,0.2281,53.48,37.36,0.2217,55.67,39.81,0.0,0.23928356170654297,0.0,0.0,0.0,0.23928356170654297
4,0.2343,50.79,34.22,0.2086,57.28,41.72,0.0,0.25944197177886963,0.0,0.0,0.0,0.25944197177886963
5,0.2281,52.87,36.57,0.2147,57.33,41.78,0.0,0.19719558954238892,0.0,0.0,0.0,0.19719558954238892
6,0.2329,50.63,34.04,0.2272,51.89,35.45,0.0,0.27454856038093567,0.0,0.0,0.0,0.27454856038093567
7,0.2322,50.34,33.71,0.2248,53.96,37.83,0.0,0.1916143149137497,0.0,0.0,0.0,0.1916143149137497
8,0.2247,52.59,36.25,0.2147,55.99,40.19,0.0,0.24736738204956055,0.0,0.0,0.0,0.24736738204956055
9,0.2295,50.93,34.38,0.221,54.56,38.52,0.0,0.22590675950050354,0.0,0.0,0.0,0.22590675950050354
10,0.2283,50.83,34.26,0.2198,53.09,36.82,0.0,0.24977292120456696,0.0,0.0,0.0,0.24977292120456696
11,0.2202,54.42,38.35,0.2035,58.57,43.27,0.0,0.2452748864889145,0.0,0.0,0.0,0.2452748864889145
12,0.2288,51.48,34.99,0.2225,52.86,36.56,0.0,0.23267397284507751,0.0,0.0,0.0,0.23267397284507751
13,0.2305,50.72,34.13,0.2068,59.54,44.44,0.0,0.2766169309616089,0.0,0.0,0.0,0.2766169309616089
14,0.2355,48.29,31.45,0.2158,55.9,40.09,0.0,0.2102220058441162,0.0,0.0,0.0,0.2102220058441162
15,0.2237,52.74,36.42,0.2242,54.61,38.58,0.0,0.24836814403533936,0.0,0.0,0.0,0.24836814403533936
16,0.2261,52.85,36.55,0.204,60.18,45.22,0.0,0.23549392819404602,0.0,0.0,0.0,0.23549392819404602
17,0.2261,52.42,36.06,0.214,55.99,40.19,0.0,0.21698488295078278,0.0,0.0,0.0,0.21698488295078278
18,0.2261,51.9,35.47,0.214,56.96,41.34,0.0,0.25022614002227783,0.0,0.0,0.0,0.25022614002227783
19,0.2225,52.69,36.36,0.2215,53.78,37.61,0.0,0.24624742567539215,0.0,0.0,0.0,0.24624742567539215
20,0.2266,52.59,36.25,0.2075,59.26,44.1,0.0,0.24597154557704926,0.0,0.0,0.0,0.24597154557704926
21,0.2275,51.23,34.7,0.2099,56.13,40.36,0.0,0.25946035981178284,0.0,0.0,0.0,0.25946035981178284
22,0.2229,52.93,36.64,0.2165,55.16,39.22,0.0,0.24866729974746704,0.0,0.0,0.0,0.24866729974746704
23,0.2265,51.57,35.09,0.2076,56.77,41.12,0.0,0.24114057421684265,0.0,0.0,0.0,0.24114057421684265
