epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,91.6263,10.81,2.9,80.3543,11.89,3.26,13.174908638000488,7.341299057006836,10.369307518005371,26.784086227416992,27.893362045288086,85.56295776367188
2,85.5275,10.74,2.77,74.5786,9.63,2.36,12.169111251831055,6.738304138183594,9.487655639648438,24.558265686035156,23.84884262084961,76.80217742919922
3,80.0607,11.78,3.11,71.0776,7.88,1.53,10.3840970993042,6.220945358276367,9.133451461791992,22.857955932617188,22.402774810791016,70.99922180175781
4,76.5215,10.8,3.0,65.7519,11.61,4.49,10.081164360046387,6.1219611167907715,9.01009464263916,21.716108322143555,22.676395416259766,69.60572052001953
5,71.6926,10.19,3.55,62.726,11.75,6.69,9.01459789276123,5.425443172454834,8.425252914428711,20.31047821044922,19.486162185668945,62.66193389892578
6,69.6139,10.97,5.16,59.9457,11.06,8.12,7.784063339233398,5.801819801330566,7.6283650398254395,19.33346939086914,18.264341354370117,58.81205749511719
7,63.1157,13.2,8.22,56.1114,16.36,12.32,10.659525871276855,5.542549133300781,10.280376434326172,18.551300048828125,30.038776397705078,75.07252502441406
8,60.6766,13.99,9.47,53.5074,16.91,17.13,9.731675148010254,4.67161750793457,8.72459602355957,17.84278678894043,30.85663414001465,71.82730865478516
9,59.83,15.45,12.65,50.7385,19.54,19.66,6.603811264038086,4.344804286956787,7.688412666320801,16.09896469116211,17.4755802154541,52.21157455444336
10,57.806,16.02,14.32,47.4791,20.97,20.49,6.075501441955566,4.3231587409973145,6.893291473388672,15.223535537719727,15.648283958435059,48.16376876831055
11,54.2671,18.6,17.34,45.5007,21.8,23.85,5.016508102416992,4.23100471496582,7.261270046234131,14.147651672363281,14.195788383483887,44.85222625732422
12,50.3505,19.35,19.21,42.3725,25.99,27.68,5.054854869842529,3.882235527038574,5.165127277374268,13.297672271728516,12.552634239196777,39.9525260925293
13,47.0696,19.7,18.86,40.0371,26.08,28.14,8.794780731201172,3.496915578842163,6.945806980133057,12.946398735046387,27.128459930419922,59.31236267089844
14,45.8703,22.95,21.84,37.0685,27.83,29.04,6.867884635925293,3.4541454315185547,5.278892517089844,11.661605834960938,12.119186401367188,39.3817138671875
15,42.9894,22.77,22.66,34.4071,28.8,29.79,9.922967910766602,3.2081644535064697,9.179730415344238,11.445352554321289,23.797670364379883,57.55388641357422
16,39.6204,24.7,24.73,31.4113,29.22,28.31,4.955324172973633,2.310201406478882,5.929314613342285,10.512969970703125,12.78986930847168,36.4976806640625
17,37.3536,25.11,24.81,29.2034,31.89,30.16,8.385855674743652,2.3215155601501465,6.471688270568848,10.10661506652832,22.532115936279297,49.81779098510742
18,35.6158,28.16,27.79,27.5334,33.13,34.37,3.700019598007202,2.110466480255127,4.492688179016113,9.234658241271973,8.845685958862305,28.38351821899414
19,35.348,28.44,27.26,25.4369,38.11,37.16,4.5809783935546875,2.3156604766845703,3.9356725215911865,8.854963302612305,10.305625915527344,29.992900848388672
20,32.1372,33.37,32.7,24.4876,35.76,31.97,7.29141092300415,2.223332405090332,8.136785507202148,8.621021270751953,20.71513557434082,46.98768615722656
21,32.0157,32.98,30.0,23.0177,42.03,38.57,5.111827850341797,2.1072425842285156,3.4151971340179443,7.7475128173828125,7.880256175994873,26.26203727722168
22,30.6099,35.47,31.74,21.9997,43.78,39.29,3.427881956100464,2.0425336360931396,2.985442638397217,7.3523268699646,5.172726631164551,20.980911254882812
23,29.8732,38.73,34.64,20.7733,45.25,39.51,4.571117401123047,2.1902382373809814,2.6656906604766846,6.966913223266602,5.5084967613220215,21.902456283569336
24,26.972,37.37,32.64,19.7228,47.79,41.9,7.060763835906982,1.9490971565246582,4.371160984039307,6.997973918914795,18.092252731323242,38.471248626708984
25,27.7918,38.51,33.58,18.3954,48.34,41.81,4.148826599121094,1.841830849647522,2.3759567737579346,5.9529337882995605,5.180241584777832,19.49979019165039
26,26.0364,39.79,34.18,18.1089,48.48,41.74,5.543184280395508,2.2062058448791504,2.57454514503479,5.8361310958862305,6.310380935668945,22.470447540283203
