epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,79.3691,26.71,27.01,42.5697,22.03,22.57,7.067063331604004,1.7332677841186523,3.138674736022949,8.247435569763184,18.632848739624023,38.81929016113281
2,28.946,28.2,27.19,11.4212,16.31,16.48,6.05385684967041,0.9436423778533936,0.7172189354896545,4.692844867706299,2.50343918800354,14.911002159118652
3,8.5693,29.95,28.46,5.771,18.43,19.26,4.092315673828125,0.589714527130127,0.29344266653060913,1.9501129388809204,0.1137053593993187,7.0392913818359375
4,5.3139,26.31,25.45,4.141,40.6,33.5,3.7575900554656982,0.46416619420051575,0.28661268949508667,0.8599203824996948,0.11747149378061295,5.485760688781738
5,3.9462,28.35,27.48,3.4545,17.88,17.66,2.1325976848602295,0.4270944893360138,0.27863970398902893,0.689135730266571,0.07210874557495117,3.599576473236084
6,3.3674,25.59,26.91,4.2675,47.51,30.99,2.8275210857391357,0.2961672246456146,0.25056931376457214,0.27123385667800903,0.07898035645484924,3.7244718074798584
7,3.8541,28.42,25.96,3.6174,12.44,12.22,2.02984356880188,0.2940663993358612,0.2689768075942993,0.3555567264556885,0.07164192944765091,3.020085573196411
8,3.0861,29.17,27.91,2.2762,23.23,24.74,1.5771598815917969,0.34833672642707825,0.2811554968357086,0.3636469841003418,0.06414620578289032,2.6344454288482666
9,2.5812,23.36,24.26,2.0272,41.01,30.04,1.5169597864151,0.3153398931026459,0.279792457818985,0.20410363376140594,0.11133911460638046,2.427534818649292
10,2.1223,28.39,26.09,1.8846,25.71,24.74,1.5773931741714478,0.3005378842353821,0.2858591377735138,0.11702856421470642,0.08528488874435425,2.3661036491394043
11,1.9459,26.45,25.48,1.4113,32.67,31.92,1.1727737188339233,0.26983195543289185,0.2588728070259094,0.08776745200157166,0.04793642461299896,1.8371824026107788
12,1.6189,30.98,29.8,1.3289,30.0,31.19,0.5956714749336243,0.23129796981811523,0.24105283617973328,0.10404401272535324,0.040790848433971405,1.2128571271896362
13,1.491,28.58,27.16,1.403,36.18,28.99,1.0643641948699951,0.2746008336544037,0.2788867950439453,0.11158814281225204,0.04959220439195633,1.7790322303771973
14,1.4511,30.54,29.01,1.6925,30.51,26.72,1.1578078269958496,0.26729267835617065,0.27881819009780884,0.10945722460746765,0.057298965752124786,1.8706748485565186
15,1.6814,31.74,28.0,1.48,24.24,21.44,0.8006013035774231,0.26322197914123535,0.2720097601413727,0.08993302285671234,0.04716971889138222,1.4729357957839966
16,1.6274,34.26,30.78,1.4894,14.84,16.38,0.9683226346969604,0.2790829539299011,0.2792743444442749,0.04993751645088196,0.05544967204332352,1.6320672035217285
17,1.426,29.51,28.24,1.6264,19.95,19.27,0.8329144716262817,0.27073657512664795,0.26989835500717163,0.0489574670791626,0.03843484818935394,1.4609417915344238
18,1.39,28.28,27.51,1.3123,46.77,35.57,0.6894463896751404,0.2710729241371155,0.2714822292327881,0.056911662220954895,0.03678875416517258,1.3257019519805908
19,1.3116,31.5,28.28,1.1046,24.24,24.26,0.591127872467041,0.2428903728723526,0.24847152829170227,0.08330530673265457,0.04014544188976288,1.2059404850006104
20,1.0965,35.25,32.12,0.9406,41.01,35.42,0.48826223611831665,0.2639918327331543,0.2639419436454773,0.07021861523389816,0.031257953494787216,1.1176725625991821
21,1.0573,31.62,28.37,0.9838,47.28,32.91,0.6066813468933105,0.24524235725402832,0.2478213906288147,0.030603012070059776,0.02864125184714794,1.1589893102645874
22,1.0566,31.19,28.57,1.0026,34.19,30.5,0.6345961093902588,0.25238075852394104,0.25165700912475586,0.02188154123723507,0.01707208715379238,1.1775875091552734
23,1.0618,32.19,29.19,0.9224,45.3,35.67,0.32633283734321594,0.23509781062602997,0.24261675775051117,0.03377313166856766,0.011479821056127548,0.8493003845214844
24,0.9885,35.32,29.78,0.9738,26.5,27.27,0.4673539698123932,0.2600824534893036,0.26127976179122925,0.053662195801734924,0.025370411574840546,1.067748785018921
25,1.1278,29.19,26.63,0.9418,42.44,34.5,0.5747779011726379,0.24647000432014465,0.2529025375843048,0.0712539479136467,0.04292409121990204,1.188328504562378
26,1.1172,29.91,26.28,1.2006,34.56,28.44,0.7032106518745422,0.281077116727829,0.283225417137146,0.027111217379570007,0.018943913280963898,1.313568353652954
27,1.1947,33.5,28.55,1.1474,45.12,29.84,0.6093564629554749,0.27099257707595825,0.2641764283180237,0.09325804561376572,0.04643423110246658,1.2842178344726562
28,1.1533,34.13,28.97,1.1341,26.64,25.43,0.7120790481567383,0.2723643481731415,0.27167579531669617,0.03739764541387558,0.04021698608994484,1.3337339162826538
29,1.0997,32.33,28.8,1.052,27.33,26.74,0.6228157877922058,0.2599022686481476,0.262031227350235,0.026330221444368362,0.017882460728287697,1.1889619827270508
30,1.1536,34.45,30.18,1.1744,11.47,9.99,0.560686469078064,0.28042805194854736,0.2757662832736969,0.02470206469297409,0.010206319391727448,1.1517891883850098
31,1.099,32.56,30.08,0.9887,33.23,28.89,0.6521466374397278,0.28071102499961853,0.2708320617675781,0.055978924036026,0.04396407678723335,1.3036328554153442
32,1.0764,31.58,27.29,0.9017,42.53,32.5,0.3994148373603821,0.2431051880121231,0.2471674382686615,0.04709217697381973,0.04398399591445923,0.9807636737823486
33,0.994,38.0,30.65,0.9647,19.72,18.83,0.40570303797721863,0.2712549567222595,0.26963648200035095,0.03713732957839966,0.0239946898072958,1.0077265501022339
34,1.0519,32.74,29.87,1.0495,22.4,21.06,0.6810899376869202,0.29666638374328613,0.28403544425964355,0.03369608893990517,0.011665752157568932,1.307153582572937
35,1.0585,30.26,27.87,0.9252,48.2,32.96,0.4260089099407196,0.25167012214660645,0.2519929111003876,0.04173864424228668,0.03932179883122444,1.0107324123382568
36,1.0273,35.48,28.9,0.9919,11.47,7.35,0.5432894825935364,0.29133281111717224,0.28636473417282104,0.015118044801056385,0.011681529693305492,1.1477864980697632
37,1.025,25.05,24.86,0.8998,43.59,30.54,0.32556840777397156,0.2599544823169708,0.25767597556114197,0.027822399511933327,0.015028373338282108,0.8860496878623962
38,0.9219,40.84,29.29,0.9827,17.97,14.62,0.40994831919670105,0.26657572388648987,0.26574277877807617,0.014555093832314014,0.011201351881027222,0.9680232405662537
39,0.9272,38.42,29.12,0.8725,40.55,30.62,0.4242747724056244,0.2662403881549835,0.2675118148326874,0.02364552952349186,0.026366092264652252,1.0080386400222778
