epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,3.5207,38.72,34.83,4.3128,10.23,10.3,0.0,0.0,3.704317331314087,0.0,0.0,3.704317331314087
2,3.8649,27.4,26.89,1.7754,44.52,37.2,0.0,0.0,3.2704505920410156,0.0,0.0,3.2704505920410156
3,2.055,29.03,29.04,1.3278,17.6,18.43,0.0,0.0,1.4946638345718384,0.0,0.0,1.4946638345718384
4,1.9093,24.3,27.41,1.0375,29.95,33.92,0.0,0.0,1.798364281654358,0.0,0.0,1.798364281654358
5,1.5473,35.71,31.34,0.7406,35.53,31.97,0.0,0.0,3.367912769317627,0.0,0.0,3.367912769317627
6,1.205,27.84,28.13,0.5898,37.05,34.7,0.0,0.0,1.124367356300354,0.0,0.0,1.124367356300354
7,0.9054,31.27,30.6,0.5121,33.96,32.84,0.0,0.0,0.7242749333381653,0.0,0.0,0.7242749333381653
8,0.8745,25.63,26.97,0.3476,36.68,35.34,0.0,0.0,0.4671989977359772,0.0,0.0,0.4671989977359772
9,0.7312,36.15,31.46,0.2808,53.55,39.87,0.0,0.0,0.3682797849178314,0.0,0.0,0.3682797849178314
10,0.6436,44.99,33.97,0.2948,52.53,40.32,0.0,0.0,0.3805446922779083,0.0,0.0,0.3805446922779083
11,0.3605,46.63,35.14,0.2838,54.88,41.05,0.0,0.0,0.3175005316734314,0.0,0.0,0.3175005316734314
12,0.3376,50.85,37.08,0.2858,52.4,37.38,0.0,0.0,0.2934993505477905,0.0,0.0,0.2934993505477905
13,0.4135,50.69,36.34,0.272,56.59,42.22,0.0,0.0,0.7072062492370605,0.0,0.0,0.7072062492370605
14,0.7498,49.12,34.69,0.2693,56.36,41.81,0.0,0.0,0.29777947068214417,0.0,0.0,0.29777947068214417
15,0.353,50.98,36.51,0.2681,57.33,43.05,0.0,0.0,0.28611549735069275,0.0,0.0,0.28611549735069275
16,0.682,50.32,35.38,0.2711,51.94,36.58,0.0,0.0,0.2771705389022827,0.0,0.0,0.2771705389022827
17,0.3501,50.71,35.66,0.2614,60.46,46.6,0.0,0.0,0.2772934138774872,0.0,0.0,0.2772934138774872
18,0.3133,49.82,34.45,0.2691,48.57,32.61,0.0,0.0,0.2547590136528015,0.0,0.0,0.2547590136528015
19,1.128,51.48,36.03,0.258,54.61,39.1,0.0,0.0,0.289903461933136,0.0,0.0,0.289903461933136
20,0.2934,50.34,34.95,0.2605,55.99,40.49,0.0,0.0,0.2573709487915039,0.0,0.0,0.2573709487915039
21,0.2837,48.21,32.86,0.255,56.82,41.48,0.0,0.0,0.3167285919189453,0.0,0.0,0.3167285919189453
22,0.4347,50.21,34.56,0.2501,58.53,43.44,0.0,0.0,1.1539433002471924,0.0,0.0,1.1539433002471924
23,0.3988,49.61,34.25,0.2561,53.09,37.13,0.0,0.0,0.28440219163894653,0.0,0.0,0.28440219163894653
24,0.51,51.68,36.94,0.2621,54.1,38.46,0.0,0.0,0.33038070797920227,0.0,0.0,0.33038070797920227
25,0.2768,51.67,36.49,0.2771,55.99,41.23,0.0,0.0,0.28565099835395813,0.0,0.0,0.28565099835395813
26,0.3967,50.39,34.74,0.2507,53.27,37.58,0.0,0.0,0.44949600100517273,0.0,0.0,0.44949600100517273
27,0.3565,52.1,36.95,0.2464,53.69,37.91,0.0,0.0,0.30908411741256714,0.0,0.0,0.30908411741256714
28,0.4493,50.76,35.04,0.243,57.65,42.57,0.0,0.0,0.27632930874824524,0.0,0.0,0.27632930874824524
29,0.6358,52.36,37.04,0.2506,54.1,38.49,0.0,0.0,0.2568981647491455,0.0,0.0,0.2568981647491455
30,0.7455,51.77,36.79,0.2402,55.44,39.88,0.0,0.0,0.24510256946086884,0.0,0.0,0.24510256946086884
31,0.4502,47.93,31.97,0.232,57.7,42.26,0.0,0.0,0.2525010406970978,0.0,0.0,0.2525010406970978
32,0.2965,50.77,34.56,0.2322,58.25,42.91,0.0,0.0,0.2384808510541916,0.0,0.0,0.2384808510541916
33,0.8557,50.85,34.58,0.2249,59.95,45.01,0.0,0.0,0.25356096029281616,0.0,0.0,0.25356096029281616
34,0.339,52.5,36.5,0.2376,53.64,37.53,0.0,0.0,0.23744389414787292,0.0,0.0,0.23744389414787292
35,0.4166,48.05,31.87,0.2284,59.4,44.35,0.0,0.0,0.23206037282943726,0.0,0.0,0.23206037282943726
36,0.3247,48.91,32.79,0.2249,61.43,46.89,0.0,0.0,0.44879430532455444,0.0,0.0,0.44879430532455444
37,0.2739,49.64,33.55,0.2338,55.85,40.24,0.0,0.0,0.2306375801563263,0.0,0.0,0.2306375801563263
38,0.2566,51.98,35.9,0.2283,58.76,43.64,0.0,0.0,0.24613359570503235,0.0,0.0,0.24613359570503235
39,0.2504,51.9,35.74,0.2224,58.71,43.62,0.0,0.0,0.2686871886253357,0.0,0.0,0.2686871886253357
40,0.2444,50.41,34.07,0.2243,58.16,42.95,0.0,0.0,0.271914541721344,0.0,0.0,0.271914541721344
