utterance_id,text,label
Ses01F_impro01_F000,Excuse me.,neutral
Ses01F_impro01_F001,Yeah.,neutral
Ses01F_impro01_F002,Is there a problem?,neutral
Ses01F_impro01_F005,Well what's the problem?  Let me change it.,neutral
Ses01F_impro01_F012,That's out of control.,angry
Ses01F_impro01_F014,"Clearly.  You know, do you have like a supervisor or something?",neutral
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,angry
Ses01F_impro01_M013,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,angry
Ses01F_impro02_F000,Did you get the mail? So you saw my letter?,sad
Ses01F_impro02_F001,Yeah.  I know.,sad
Ses01F_impro02_F002,I don't know.  I put in that. request too. They didn't...,sad
Ses01F_impro02_F003,"I guess, you know, everybody has to make sacrifices.",neutral
Ses01F_impro02_F004,"There's people that have given more though, you know?",sad
Ses01F_impro02_F005,I know.,sad
Ses01F_impro02_F006,"There's babies over there, though, that need mothers.",neutral
Ses01F_impro02_F008,"Just, you know, kicking myself.",sad
Ses01F_impro02_F010,things just aren't what they seem.,sad
Ses01F_impro02_F012,"If not me then, who?",sad
Ses01F_impro02_F013,"You'll videotape everything, yeah?",sad
Ses01F_impro02_F014,"Maybe you can send it to me, like stream it, yeah?",sad
Ses01F_impro02_F015,Last month--  Yeah.,sad
Ses01F_impro02_F016,I have to find sitters.,neutral
Ses01F_impro02_F017,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad
Ses01F_impro02_F018,And your mother is close by.,neutral
Ses01F_impro02_F019,I'll send you lots of letters.,sad
Ses01F_impro02_F020,And I want lots and lots and lots of pictures.,sad
Ses01F_impro02_M001,"I don't understand.  You've already done so much, I don't know why do you have to go back.",sad
Ses01F_impro02_M005,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad
Ses01F_impro02_M009,I just don't see why it has to be you.,sad
Ses01F_impro02_M010,What am I going to do? Huh?,sad
Ses01F_impro02_M011,Yeah.,sad
Ses01F_impro02_M012,Don't you guys have access to computers over there.,neutral
Ses01F_impro02_M013,I just don't know how I'm going to do it without you.,sad
Ses01F_impro02_M014,I can't raise a baby by myself.  How?,sad
Ses01F_impro02_M015,I know.,neutral
Ses01F_impro03_F000,Well Vegas was awesome.,happy
Ses01F_impro03_F001,"And, um, I got married.",happy
Ses01F_impro03_F002,Yeah.  In the old town part.,happy
Ses01F_impro03_F004,Um- Yes.  It was very romantic.,happy
Ses01F_impro03_F005,It was at the slot machines.,happy
Ses01F_impro03_F006,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",happy
Ses01F_impro03_F008,"Yeah.  Well.  You know, because he's leaving the next day.",happy
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,happy
Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,happy
Ses01F_impro03_F012,Oh.  Totally.,happy
Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],happy
Ses01F_impro03_F016,"He likes to keep tabs, you know.",happy
Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neutral
Ses01F_impro03_F018,Penny slots. That's what he plays.,neutral
Ses01F_impro03_F019,Yeah.,neutral
