dialogue_id; speaker; description;
Ses01F_impro01; M; Authoritative,  rigid and procedural. He is focused on rules and protocol unwilling to show flexibility despite the speaker's distress. His frustration builds as he perceives the situation as simple lacking empathy for the complexities of the speaker's predicament.;
Ses01F_impro01; F; Frustrated,  assertive	 and increasingly desperate. She is caught in a bureaucratic trap and attempts to reason logically	 but grows emotional and confrontational when faced with inflexibility and lack of understanding.;
Ses01F_impro02; M;  Emotional,  caring	 and distressed. Deeply affected by the speaker's departure	 he expresses helplessness and frustration	 indicating strong emotional attachment and a desire for alternatives to the painful situation.;
Ses01F_impro02; F; Resigned,  empathetic and composed. She demonstrates inner conflict but remains rational and calm. Despite personal pain she tries to comfort her partner and accepts her obligations with maturity.;
Ses01F_impro03; M; Curious,  humorous and supportive. He reacts with playful disbelief and amusement engaging warmly and maintaining a light-hearted tone even when discussing significant life events like marriage.;
Ses01F_impro03;F; Playful  spontaneous and lively. She narrates her impulsive Vegas marriage with humor and irony showing a carefree attitude. Her storytelling is animated revealing a fun-loving and unfiltered personality.;
Ses01F_impro04; M; Patient and rational  the male speaker attempts to offer constructive advice about job searching and the importance of a resume. He remains calm despite the growing tension and personal attacks showing empathy and a willingness to help. His environmental values and composed demeanor contrast with the escalating frustration of the other speaker.;
Ses01F_impro04; F; Defensive and emotional  the female speaker exhibits deep frustration about her job search and perceived systemic bias. She resists standard processes like creating a resume expressing distrust in institutions. Her dialogue reveals vulnerability and pride as well as a sensitivity to judgment	 which leads to conflict escalation.;
Ses01F_impro05; M; Professional but somewhat passive  the male speaker maintains corporate protocol while trying to placate an irate customer. He offers apologies and compensation within policy limits but struggles to de-escalate the situation. His calm tone contrasts sharply with the customer's emotional intensity highlighting his role as a restrained service representative.;
Ses01F_impro05; F; Assertive and emotionally expressive  she is frustrated and insistent about accountability. Her tone escalates quickly due to perceived injustice and loss. She values her possessions and expects compensation reflecting a high sense of self-worth and possibly status-consciousness.;
Ses01F_impro06; M; Supportive and gentle, he offers comfort and practical help, suggesting a nurturing and empathetic nature. His listening skills are strong, offering minimal interruptions and allowing emotional expression to unfold naturally.;
Ses01F_impro06; F; Deeply reflective and emotionally vulnerable  she shares profound grief with poetic sensitivity. Her detailed recollections and symbolic imagery show strong memory	 creativity	 and a need to keep emotional connections alive through storytelling.;
Ses01F_impro07;M;Supportive, enthusiastic, and humorous. Frequently affirms F’s achievements and plans with positive reinforcement, and uses light-hearted jokes to keep the tone cheerful. Appears emotionally invested in F's success and clearly values their friendship.;
Ses01F_impro07;F;Ambitious yet anxious, excited about academic success but realistically aware of financial and logistical challenges. Displays self-deprecating humor and vulnerability, particularly about uncertainties regarding the future. Appreciates M’s encouragement and responds with warmth.;
Ses01F_script01_1;M;Serious, emotionally burdened, and morally direct. Tries to confront painful family truths, especially regarding the presumed death of his brother. Displays frustration with denial, and a strong sense of responsibility toward resolving family tensions and asserting his intentions.;
Ses01F_script01_1;F;F is emotionally protective, cautious, and rooted in hope and denial. She struggles to accept the harsh reality of Larry's disappearance and clings to the possibility of his return. She shows care for the family’s emotional state and fears upsetting her husband. F is skeptical but gentle, prioritizing family unity over confrontation.;
Ses01F_script01_2;M;Joe appears pragmatic and somewhat guarded. He tries to calm tensions, avoids emotional confrontation, and seems unsure or defensive about the situation involving 'her.' He exhibits patience but also some frustration and confusion, showing a tendency to downplay emotional cues and avoid direct answers.;
Ses01F_script01_2;F;Kate is emotional, deeply faithful, and hopeful, clinging to belief in Larry's return. She is passionate, persistent, and somewhat confrontational, driven by loyalty and despair. Her anxiety and vulnerability emerge strongly, showing a protective and determined personality with a readiness to express intense feelings openly.;
Ses01F_script01_3;M;Chris is introspective and conflicted, wrestling with guilt and trauma from his war experience. He shows love and vulnerability, yet also embarrassment and a sense of detachment from normal life. He is sincere, somewhat awkward in expressing emotions, and burdened by responsibility and loss.;
Ses01F_script01_3;F;Annie is caring and emotionally perceptive but also cautious and vulnerable. She struggles with feelings of uncertainty about her place and relationship, yet demonstrates patience and deep commitment. She is empathetic, supportive, and has a strong desire for honesty and clarity, while also wary of emotional discomfort.;
Ses01F_script02_1;M;Expressive, enthusiastic, and poetic. Shows deep excitement and appreciation for nature's phenomena, eager to share the experience. Uses humor and affectionate teasing. Optimistic and persistent, tries to convince the partner to enjoy the moment.;
Ses01F_script02_1;F;Reserved and pragmatic. Responds with short, sometimes dismissive answers. Appears skeptical and less emotionally invested. Shows subtle irritation and coldness but also moments of warmth (laughter). Practical and less romantic about the event.;
Ses01F_script02_2;M;Concerned and reflective. Attempts to understand partner’s feelings and tensions. Mixes scientific curiosity with emotional involvement. Uses humor to ease tension but struggles to connect emotionally at times.;
Ses01F_script02_2;F;Frustrated and emotionally vulnerable. Feels disappointment and disillusionment with repeated unmet expectations. Expresses deeper personal feelings masked by cynicism. Wants emotional connection but feels misunderstood. Shows conflict between hope and resignation.;
Ses01F_script03_1;M;Playful, flippant, and uses humor and irony to cope with serious topics like love and death. He tends to be philosophical but masks it with lightheartedness and sarcasm. He shows affection and protective instincts toward F, yet also teases her. M appears confident, sometimes dismissive of seriousness, preferring to see life as a game or party.;
Ses01F_script03_1;F;More serious and contemplative, often reflecting on the fragility of happiness and love. She balances M's flippancy with realism and occasional melancholy, expressing fears and doubts. Despite this, she shows warmth, loyalty, and a strong sense of devotion, sometimes using humor herself but with more gravity than M.;
Ses01F_script03_2;M;Jealous, confrontational, and prone to defensive, bitter arguments. He drinks moderately but uses alcohol as an excuse for his mood. His dialogue reveals insecurities about fidelity and a tendency to blame F for their conflicts. He oscillates between sarcastic humor and cruelty, showing bitterness over their troubled relationship.;
Ses01F_script03_2;F;Defiant, blunt, and emotionally strong-willed. She is unapologetic about her actions and openly challenges M's accusations. She balances irritation and sarcasm with clear frustration and resentment. F appears emotionally hardened, unafraid to express anger and unwilling to tolerate M's bullying behavior.;
Ses01M_impro01;M;Frustrated but patient, trying to explain his situation calmly. He is seeking help but feels misunderstood and not listened to, which leads him to raise his voice slightly. He tries to keep the conversation civil despite the rising tension.;
Ses01M_impro01;F;Assertive, somewhat impatient and skeptical. She appears bureaucratic, sticking strictly to rules and procedures, which causes friction. She can be dismissive and condescending, showing little empathy or willingness to assist beyond her defined role.;
Ses01M_impro02;M;Anxious and shocked about unexpected news forcing him to return to duty. He shows vulnerability and fear but tries to be reassuring to the female speaker, emphasizing camaraderie and hope despite uncertainty.;
Ses01M_impro02;F;Supportive and empathetic, sharing the male speaker's distress. She tries to comfort him with humor and practical suggestions, revealing a caring and close relationship. She acts as emotional support in a difficult moment.;
Ses01M_impro03;M;Casual, humorous, and opportunistic. He talks about a risky proposition with a mix of excitement and nonchalance, showing a laid-back attitude and a willingness to bend rules for financial gain and adventure.;
Ses01M_impro03;F;Curious, playful, and encouraging. She engages enthusiastically in the male speaker's story, offering practical advice and sharing social norms for such situations, showing familiarity with the topic and a supportive demeanor.;
Ses01M_impro04;M;Frustrated and desperate about long-term unemployment, showing anger and defensiveness. Feels victimized by circumstances, struggles to control emotions, prone to hostility and interruptions, but open to honest feedback. Expresses anxiety about financial instability and job prospects.;
Ses01M_impro04;F;Calm, rational, and somewhat patient. Acts as a reality check for M, gently challenges his attitude and behaviors, encourages self-reflection. Offers practical advice but tries to avoid confrontation. Shows empathy but remains firm about the importance of professionalism.;
Ses01M_impro05;M;Stressed and irritable due to lost luggage and long wait. Quick to anger and suspicion, shows distrust towards airline staff. Uses sarcasm and blunt language. Desperate to recover belongings as they contain critical work data. Feels powerless and frustrated, easily escalates tension.;
Ses01M_impro05;F;Professional, assertive, and somewhat defensive. Maintains composure despite M's aggression. Uses factual, sometimes curt responses. Attempts to de-escalate but sets firm boundaries. Demonstrates experience in handling difficult customers but remains empathetic within limits.;
Ses01M_impro07;M;The male speaker is confident and enthusiastic about his recent softball scholarship, showing pride in his athletic achievement and excitement about his future. He is casual, humorous, and somewhat playful, joking about living arrangements and commuting by helicopter. He also shows a bit of insecurity as he feels like the 'odd man out' among his teammates. He values independence, wanting nicer housing than provided, and expresses a laid-back attitude toward the sport and scholarship.;
Ses01M_impro07;F;The female speaker is supportive, curious, and teasing, often laughing and asking questions about the scholarship and softball details. She shows a friendly and engaging personality, encouraging the male speaker to explore perks and housing options. She playfully challenges some of his statements but ultimately affirms his achievement. She displays practicality about logistics like commuting and housing and empathy about fitting in socially.;
Ses01M_script01_1;M;The male speaker appears thoughtful, burdened by unresolved emotional tension about his father and past losses. He struggles with accepting reality, showing vulnerability and a desire for closure. He is introspective, seeking support from the female speaker, and trying to manage family conflict around grief and future plans. He is cautious but determined, especially regarding his engagement intentions.;
Ses01M_script01_1;F;The female speaker is pragmatic and emotionally perceptive, recognizing the unresolved grief affecting the male speaker and family. She offers cautious advice and challenges his views gently, acting as a grounding presence. She seems protective about family harmony and aware of emotional complexities, showing a balance of support and realism about difficult family dynamics.;
Ses01M_script01_2;M;M is pragmatic and tries to stay calm amidst emotional tension. He is skeptical yet protective, often urging others to calm down and avoid conflict. He values rationality and is cautious about jumping to conclusions, showing some emotional restraint.;
Ses01M_script01_2;F;F is highly emotional, deeply faithful, and driven by hope. She clings to belief and loyalty, even in difficult circumstances. She is intense, vulnerable, and openly expresses her fears and desires, emphasizing the importance of family bonds and trust.;
Ses01M_script01_3;M;M is reflective and burdened by past trauma, especially from war experiences. He struggles with guilt and feelings of disconnection from normal life. Despite this, he is affectionate and open about his feelings toward F, though sometimes awkward and self-critical.;
Ses01M_script01_3;F;F is caring and supportive, patient yet honest about her discomfort in the current situation. She is perceptive about social dynamics, quietly persistent in her feelings for M, and tries to encourage him while showing understanding of his inner conflicts.;
Ses01M_script02_1;M;M is enthusiastic, talkative, and optimistic, showing excitement about the natural event. He is playful and caring, often checking on F's comfort, offering his jacket and expressing concern. He uses humor and light teasing (e.g., about the flashlight), and tries to share his wonder and fascination with nature. He values the experience highly, sees it as special and almost magical, and tries to persuade F to share his enthusiasm.;
Ses01M_script02_1;F;F is more reserved, pragmatic, and somewhat skeptical or indifferent about the event. She expresses discomfort (cold, tired) and frustration, gently pushing to leave early. F challenges M's enthusiasm and finds the event underwhelming or 'stupid.' She is more grounded in practical concerns (cold, timing, inconvenience) and less interested in romanticizing the experience. Despite her apparent disinterest, she engages in the conversation but maintains a cooler, less emotional stance.;
Ses01M_script03_1;M;The male speaker is playful, philosophical, and somewhat carefree. He approaches serious topics with humor and flippancy, using laughter to diffuse tension. He shows affection and vulnerability, but hides it behind wit and irony. He is protective and loyal, emphasizing love despite potential betrayals. His tone swings between serious reflections and lighthearted banter.;
Ses01M_script03_1;F;The female speaker is emotionally expressive, reflective, and candid. She acknowledges vulnerability and the fragility of happiness, showing a somewhat pessimistic view of love’s longevity. She balances seriousness with humor, often responding to the male's flippancy with laughter but also sharp honesty. She exhibits affectionate firmness, setting clear boundaries, and values sincerity.;
Ses01M_script03_2;M;The male speaker appears jealous, controlling, and argumentative. His humor is sharper and more biting, mixing affection with suspicion and bitterness. He oscillates between mockery and anger, indicating unresolved tension and a struggle for dominance. Despite occasional tenderness, his tone becomes more aggressive and resentful as the dialogue progresses.;
Ses01M_script03_2;F;The female speaker is assertive, sarcastic, and defensive. She challenges the male’s accusations with wit and dismissiveness, refusing to be subdued. She uses humor to deflect tension but also voices frustration and anger openly. Her tone is confrontational and resolute, revealing emotional pain but strong self-possession. She refuses to be controlled and asserts independence even amid conflict.;
Ses02F_impro01;M;The male speaker appears professional and rule-bound, strictly adhering to procedures and regulations. He is firm but polite, showing limited empathy. His responses reveal a focus on policy rather than personal circumstances, and he maintains a position of authority as a supervisor. He is somewhat inflexible, emphasizing that exceptions cannot be made despite the woman's frustration.;
Ses02F_impro01;F;The female speaker is frustrated and anxious due to bureaucratic obstacles. She is polite yet persistent, trying to negotiate and appeal for exceptions based on practicality and personal hardship. She expresses concern about time constraints and the inconvenience of returning later. Her tone shows vulnerability and a sense of being trapped in an inflexible system.;
Ses02F_impro02;M;The male speaker shows emotional vulnerability and worry about separation from his partner and daughter. He expresses feelings of helplessness and fear about the future without the female speaker. His language is caring and supportive but also indicates uncertainty and a desire to find alternatives to separation.;
Ses02F_impro02;F;The female speaker is resigned but resolute, accepting the necessity of her departure despite emotional difficulty. She shows pragmatism, focusing on safety and practical concerns for her child. She encourages her partner to be strong and supportive, showing trust in his capabilities while managing her own sadness and responsibility.;
Ses02F_impro04;M;Supportive and encouraging, tries to boost F's morale despite tough circumstances, empathetic but optimistic, offers reassurance and practical advice, believes in persistence and the value of networking.;
Ses02F_impro04;F;Frustrated and discouraged by repeated job rejections, feels personally inadequate and overwhelmed, expresses self-doubt and emotional exhaustion, desires validation but struggles with hope, shows vulnerability and honesty about struggles.;
Ses02F_impro05;M;Professional yet somewhat detached, attempts to explain the situation but offers limited solutions, acknowledges customer frustration but maintains procedural stance, pragmatic and factual with a tone that may come off as unsympathetic.;
Ses02F_impro05;F;Upset and anxious about lost baggage, emotionally invested in the lost possessions including sentimental value, skeptical and dissatisfied with the airline's compensation and response, persistent in seeking better resolution, displays a mix of frustration and helplessness.;
Ses02F_impro03;M;Supportive and attentive listener, shows genuine happiness for the friend. Responds with enthusiasm and curiosity, encourages storytelling, and expresses admiration for the romantic event. Offers encouragement and approval, with light humor and warmth, showing emotional engagement.;
Ses02F_impro03;F;Excited, expressive, and joyful, shares big personal news with enthusiasm and detail. Reflects on emotions openly, sometimes uncertain about future plans but optimistic. Shows warmth towards family and values their involvement. Has a playful and candid communication style, mixing excitement with thoughtful reflections about life changes.;
Ses02F_impro06;M;Supportive and empathetic, M tries to comfort F by acknowledging the pain but focusing on positive memories and acceptance. He offers reassurance that time will help heal and that the deceased is better off, showing emotional maturity and experience with loss.;
Ses02F_impro06;F;Grieving and vulnerable, F expresses sadness and difficulty accepting the loss. She clings to memories and fears forgetting the deceased, revealing emotional sensitivity and attachment. F also shares personal details about the deceased, indicating closeness.;
Ses02F_impro07;M;Encouraging and engaged, M listens attentively to F’s news and offers enthusiasm and light humor. He shows interest in F’s future plans and provides practical support by asking about next steps, reflecting a friendly and optimistic personality.;
Ses02F_impro07;F;Excited and hopeful, F is optimistic about her acceptance to USC and future opportunities. She values prestige and social connection, showing pride and eagerness to explore options. F also demonstrates practical awareness about financial and academic concerns but maintains a positive outlook.;
Ses02F_impro08;M;Frustrated and impatient due to prior negative experience with automated booking systems. He values clear, practical information and is focused on getting a good deal and ensuring comfort for his family. His tone is polite but cautious, showing concern about cost and quality.;
Ses02F_impro08;F;Patient, empathetic, and customer-focused. She uses reassurance and positive framing to ease the customer's frustration. She is informative and proactive, offering special deals and detailed explanations to build trust and satisfaction.;
Ses02F_script01_1;M;Emotionally conflicted, carrying guilt and frustration related to family secrets and unresolved grief. He is contemplative, struggles with honesty, and desires resolution and clarity, especially about his father's denial and his own romantic future.;
