epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
1,2.9451,29.19,28.92,1.6405,20.14,22.23,0.0,0.0,1.8425031900405884,0.0,0.0,1.8425031900405884
2,1.7998,29.72,29.08,0.8237,58.39,48.45,0.0,0.0,1.6522891521453857,0.0,0.0,1.6522891521453857
3,1.3001,32.46,28.89,0.3357,50.83,42.46,0.0,0.0,1.2302870750427246,0.0,0.0,1.2302870750427246
4,0.5025,44.14,34.6,0.2843,55.21,43.09,0.0,0.0,0.3213203549385071,0.0,0.0,0.3213203549385071
5,0.5078,47.3,35.3,0.2755,54.65,40.35,0.0,0.0,0.6868901252746582,0.0,0.0,0.6868901252746582
6,0.5336,52.2,37.53,0.2798,54.38,38.62,0.0,0.0,1.101546049118042,0.0,0.0,1.101546049118042
7,0.3648,51.02,35.32,0.2732,56.64,41.35,0.0,0.0,0.28430140018463135,0.0,0.0,0.28430140018463135
8,0.368,46.27,29.84,0.2735,56.41,40.79,0.0,0.0,0.27493569254875183,0.0,0.0,0.27493569254875183
9,0.359,49.57,33.04,0.2717,56.04,40.29,0.0,0.0,0.3790349066257477,0.0,0.0,0.3790349066257477
10,0.3776,48.42,31.96,0.2633,56.08,40.42,0.0,0.0,0.2654597759246826,0.0,0.0,0.2654597759246826
11,0.3163,52.97,37.2,0.2643,55.71,39.95,0.0,0.0,0.31147414445877075,0.0,0.0,0.31147414445877075
12,0.32,50.36,33.98,0.264,52.4,36.12,0.0,0.0,0.3616202473640442,0.0,0.0,0.3616202473640442
13,0.2877,49.78,33.45,0.2646,52.12,35.83,0.0,0.0,0.25026968121528625,0.0,0.0,0.25026968121528625
14,0.284,49.19,32.79,0.258,57.42,41.99,0.0,0.0,0.25248080492019653,0.0,0.0,0.25248080492019653
15,0.2883,52.52,36.59,0.2577,55.35,39.58,0.0,0.0,0.2576587498188019,0.0,0.0,0.2576587498188019
16,0.2894,49.84,33.27,0.2507,57.93,42.61,0.0,0.0,0.256374329328537,0.0,0.0,0.256374329328537
17,0.2874,51.14,34.69,0.2478,58.53,43.28,0.0,0.0,0.2735932469367981,0.0,0.0,0.2735932469367981
18,0.4237,49.8,33.14,0.2515,54.75,38.75,0.0,0.0,0.24051526188850403,0.0,0.0,0.24051526188850403
19,0.2581,53.76,37.62,0.2496,52.95,36.67,0.0,0.0,0.26667270064353943,0.0,0.0,0.26667270064353943
20,0.256,49.61,32.93,0.2452,57.05,41.48,0.0,0.0,0.2577756941318512,0.0,0.0,0.2577756941318512
21,0.302,50.97,34.47,0.2401,62.26,47.85,0.0,0.0,0.2595171630382538,0.0,0.0,0.2595171630382538
22,0.2695,48.98,32.26,0.2431,58.76,43.55,0.0,0.0,0.26404687762260437,0.0,0.0,0.26404687762260437
23,0.2623,53.2,37.01,0.2473,56.64,41.04,0.0,0.0,0.2533573508262634,0.0,0.0,0.2533573508262634
24,0.2617,48.99,32.28,0.2439,53.0,36.78,0.0,0.0,0.24456286430358887,0.0,0.0,0.24456286430358887
25,0.2751,51.3,34.87,0.2356,57.7,42.29,0.0,0.0,0.25234749913215637,0.0,0.0,0.25234749913215637
26,0.2515,51.18,34.7,0.2364,55.85,40.1,0.0,0.0,0.2576063275337219,0.0,0.0,0.2576063275337219
27,0.2729,51.34,34.87,0.2326,59.91,44.96,0.0,0.0,0.31205952167510986,0.0,0.0,0.31205952167510986
28,0.2634,51.58,35.18,0.2315,58.66,43.45,0.0,0.0,0.2507607042789459,0.0,0.0,0.2507607042789459
29,0.2646,50.3,33.71,0.2373,54.88,38.96,0.0,0.0,0.25698667764663696,0.0,0.0,0.25698667764663696
30,0.2593,51.48,35.03,0.2265,58.66,43.41,0.0,0.0,0.22911614179611206,0.0,0.0,0.22911614179611206
31,0.2545,51.14,34.64,0.2321,57.93,42.56,0.0,0.0,0.2252313494682312,0.0,0.0,0.2252313494682312
32,0.257,49.57,32.92,0.2281,58.85,43.67,0.0,0.0,0.2347419261932373,0.0,0.0,0.2347419261932373
33,0.2446,51.85,35.47,0.2262,58.2,42.89,0.0,0.0,0.2550046741962433,0.0,0.0,0.2550046741962433
34,0.2369,52.46,36.13,0.2383,53.55,37.41,0.0,0.0,0.25803133845329285,0.0,0.0,0.25803133845329285
35,0.245,49.93,33.27,0.2287,54.98,39.04,0.0,0.0,0.2623237073421478,0.0,0.0,0.2623237073421478
36,0.2445,53.31,37.16,0.2278,58.8,43.58,0.0,0.0,0.19851577281951904,0.0,0.0,0.19851577281951904
37,0.236,51.35,34.86,0.2227,58.11,42.75,0.0,0.0,0.2482810914516449,0.0,0.0,0.2482810914516449
38,0.2439,49.82,33.18,0.2336,53.64,37.49,0.0,0.0,0.257922500371933,0.0,0.0,0.257922500371933
39,0.2632,50.27,33.7,0.2243,57.7,42.22,0.0,0.0,0.2180730402469635,0.0,0.0,0.2180730402469635
40,0.2357,51.87,35.47,0.2217,57.7,42.22,0.0,0.0,0.25205186009407043,0.0,0.0,0.25205186009407043
41,0.2346,51.14,34.65,0.2261,55.9,40.09,0.0,0.0,0.2453928291797638,0.0,0.0,0.2453928291797638
42,0.2365,52.28,35.92,0.2249,55.3,39.38,0.0,0.0,0.23362253606319427,0.0,0.0,0.23362253606319427
43,0.2335,54.03,37.97,0.2181,59.49,44.38,0.0,0.0,0.2350570261478424,0.0,0.0,0.2350570261478424
44,0.2577,49.13,32.41,0.2259,52.72,36.4,0.0,0.0,0.254058301448822,0.0,0.0,0.254058301448822
45,0.2508,49.37,32.67,0.2245,55.21,39.27,0.0,0.0,0.21467524766921997,0.0,0.0,0.21467524766921997
46,0.2875,50.25,33.65,0.2229,54.65,38.63,0.0,0.0,0.22210693359375,0.0,0.0,0.22210693359375
47,0.2713,47.31,30.43,0.2191,57.05,41.45,0.0,0.0,0.3884519636631012,0.0,0.0,0.3884519636631012
48,0.2384,49.64,32.97,0.2191,57.1,41.5,0.0,0.0,0.24118714034557343,0.0,0.0,0.24118714034557343
49,0.3166,50.67,34.1,0.2183,57.28,41.72,0.0,0.0,0.20544402301311493,0.0,0.0,0.20544402301311493
50,0.2387,50.78,34.23,0.2135,59.17,43.99,0.0,0.0,0.23406259715557098,0.0,0.0,0.23406259715557098
51,0.2448,51.9,35.48,0.2148,58.43,43.1,0.0,0.0,0.1871730089187622,0.0,0.0,0.1871730089187622
52,0.2313,51.0,34.47,0.2263,53.73,37.56,0.0,0.0,0.19612634181976318,0.0,0.0,0.19612634181976318
53,0.2392,51.65,35.25,0.2283,50.78,34.21,0.0,0.0,0.24423466622829437,0.0,0.0,0.24423466622829437
54,0.2303,52.42,36.09,0.2238,54.38,38.31,0.0,0.0,0.2348133623600006,0.0,0.0,0.2348133623600006
55,0.2369,50.87,34.32,0.2181,55.21,39.27,0.0,0.0,0.26358872652053833,0.0,0.0,0.26358872652053833
56,0.2263,53.93,37.83,0.2271,52.63,36.29,0.0,0.0,0.24496740102767944,0.0,0.0,0.24496740102767944
57,0.2413,49.88,33.22,0.2165,56.77,41.12,0.0,0.0,0.2664772570133209,0.0,0.0,0.2664772570133209
58,0.2236,53.22,36.99,0.2056,59.77,44.72,0.0,0.0,0.25528615713119507,0.0,0.0,0.25528615713119507
59,0.2302,50.91,34.36,0.217,55.39,39.49,0.0,0.0,0.24990154802799225,0.0,0.0,0.24990154802799225
60,0.2339,53.04,36.78,0.2212,56.22,40.47,0.0,0.0,0.23975089192390442,0.0,0.0,0.23975089192390442
61,0.2303,51.94,35.54,0.2209,55.58,39.71,0.0,0.0,0.258774071931839,0.0,0.0,0.258774071931839
62,0.2369,48.13,31.33,0.2092,59.08,43.88,0.0,0.0,0.20023410022258759,0.0,0.0,0.20023410022258759
63,0.2377,50.5,33.92,0.2102,59.45,44.33,0.0,0.0,0.2583928406238556,0.0,0.0,0.2583928406238556
64,0.2344,50.02,33.41,0.2148,56.27,40.52,0.0,0.0,0.20149706304073334,0.0,0.0,0.20149706304073334
65,0.2298,50.34,33.75,0.219,55.35,39.44,0.0,0.0,0.2512204945087433,0.0,0.0,0.2512204945087433
66,0.2317,51.2,34.69,0.214,56.27,40.52,0.0,0.0,0.2635498344898224,0.0,0.0,0.2635498344898224
67,0.2236,52.83,36.54,0.2108,58.11,42.71,0.0,0.0,0.19818346202373505,0.0,0.0,0.19818346202373505
68,0.2297,52.33,35.99,0.2136,56.91,41.28,0.0,0.0,0.2722787857055664,0.0,0.0,0.2722787857055664
69,0.2254,51.85,35.45,0.2123,57.83,42.38,0.0,0.0,0.2546631395816803,0.0,0.0,0.2546631395816803
70,0.2372,50.74,34.22,0.2061,59.63,44.56,0.0,0.0,0.26141679286956787,0.0,0.0,0.26141679286956787
71,0.2455,48.96,32.21,0.2239,52.81,36.51,0.0,0.0,0.21158963441848755,0.0,0.0,0.21158963441848755
72,0.2316,51.18,34.68,0.2036,59.54,44.47,0.0,0.0,0.23841942846775055,0.0,0.0,0.23841942846775055
73,0.2481,53.22,37.01,0.2121,56.45,40.82,0.0,0.0,0.25173425674438477,0.0,0.0,0.25173425674438477
74,0.2596,49.54,32.83,0.2119,57.28,41.79,0.0,0.0,0.26044175028800964,0.0,0.0,0.26044175028800964
75,0.2474,51.44,34.97,0.2094,58.39,43.13,0.0,0.0,0.18960590660572052,0.0,0.0,0.18960590660572052
76,0.2257,51.01,34.5,0.2163,56.31,40.64,0.0,0.0,0.2677648365497589,0.0,0.0,0.2677648365497589
77,0.2226,51.95,35.56,0.2125,56.91,41.37,0.0,0.0,0.23937727510929108,0.0,0.0,0.23937727510929108
78,0.2332,53.25,37.01,0.2273,51.75,35.34,0.0,0.0,0.3044835329055786,0.0,0.0,0.3044835329055786
79,0.2286,52.22,35.86,0.2109,59.12,44.01,0.0,0.0,0.25420114398002625,0.0,0.0,0.25420114398002625
80,0.2284,53.18,36.93,0.2042,60.51,45.7,0.0,0.0,0.27143093943595886,0.0,0.0,0.27143093943595886
81,0.2334,50.54,33.94,0.2324,50.51,33.96,0.0,0.0,0.20476001501083374,0.0,0.0,0.20476001501083374
82,0.2311,51.07,34.55,0.2071,58.02,42.67,0.0,0.0,0.26431724429130554,0.0,0.0,0.26431724429130554
83,0.2318,49.51,32.82,0.2151,55.16,39.29,0.0,0.0,0.2543940842151642,0.0,0.0,0.2543940842151642
84,0.233,49.64,32.95,0.2248,53.59,37.45,0.0,0.0,0.1971196085214615,0.0,0.0,0.1971196085214615
85,0.234,51.35,34.87,0.2251,53.41,37.25,0.0,0.0,0.19147434830665588,0.0,0.0,0.19147434830665588
86,0.2285,51.81,35.38,0.2016,60.0,45.07,0.0,0.0,0.2750389277935028,0.0,0.0,0.2750389277935028
87,0.2277,51.9,35.49,0.2156,56.64,41.0,0.0,0.0,0.23870554566383362,0.0,0.0,0.23870554566383362
88,0.2247,52.27,35.9,0.211,57.1,41.55,0.0,0.0,0.2549646496772766,0.0,0.0,0.2549646496772766
89,0.2393,50.88,34.33,0.2258,52.21,35.86,0.0,0.0,0.18066614866256714,0.0,0.0,0.18066614866256714
90,0.2317,52.18,35.79,0.2043,60.14,45.22,0.0,0.0,0.23924799263477325,0.0,0.0,0.23924799263477325
91,0.2263,51.38,34.89,0.2204,54.47,38.5,0.0,0.0,0.25506773591041565,0.0,0.0,0.25506773591041565
92,0.2375,47.55,30.65,0.217,55.3,39.46,0.0,0.0,0.27220767736434937,0.0,0.0,0.27220767736434937
93,0.2323,52.68,36.36,0.209,56.77,41.19,0.0,0.0,0.2484401911497116,0.0,0.0,0.2484401911497116
94,0.2265,51.9,35.47,0.2059,60.09,45.16,0.0,0.0,0.2298431247472763,0.0,0.0,0.2298431247472763
95,0.2234,52.94,36.65,0.2208,53.18,36.99,0.0,0.0,0.22342105209827423,0.0,0.0,0.22342105209827423
96,0.2298,50.62,34.06,0.2187,55.25,39.39,0.0,0.0,0.264128714799881,0.0,0.0,0.264128714799881
97,0.2432,48.39,31.58,0.2157,55.35,39.52,0.0,0.0,0.20082467794418335,0.0,0.0,0.20082467794418335
98,0.2361,49.05,32.29,0.2063,58.02,42.67,0.0,0.0,0.27442699670791626,0.0,0.0,0.27442699670791626
99,0.2234,53.03,36.77,0.2266,52.53,36.25,0.0,0.0,0.22348779439926147,0.0,0.0,0.22348779439926147
100,0.2267,53.07,36.8,0.2106,58.25,42.93,0.0,0.0,0.2690245807170868,0.0,0.0,0.2690245807170868
